candidate_id,skill_match,experience,recommended
1,76,27,No
2,87,20,High
3,44,16,A
4,49,92,C
5,95,23,B
6,58,69,B
7,47,27,High
8,11,93,Medium
9,13,69,A
10,18,57,A
11,24,61,B
12,67,76,High
13,76,25,B
14,63,50,No
15,45,100,Low
16,77,35,Low
17,100,4,C
18,8,86,Medium
19,71,30,B
20,41,57,Critical
21,96,14,A
22,7,96,B
23,36,53,B
24,43,65,Medium
25,22,52,C
26,55,79,B
27,65,20,Critical
28,19,45,Low
29,79,25,Yes
30,28,59,Low
31,14,90,Medium
32,55,7,B
33,20,48,C
34,42,36,A
35,2,50,B
36,92,58,No
37,95,92,No
38,83,75,A
39,41,97,No
40,23,13,B
41,24,58,Low
42,59,14,C
43,16,69,Critical
44,41,64,C
45,82,44,Critical
46,72,76,B
47,42,63,A
48,69,28,Low
49,31,69,Yes
50,77,32,High
51,100,42,High
52,43,54,High
53,45,47,Critical
54,77,77,A
55,27,37,Yes
56,41,51,A
57,86,100,Low
58,2,50,Critical
59,78,100,Yes
60,30,9,Critical
61,50,27,No
62,13,56,High
63,45,12,A
64,20,15,C
65,94,23,Critical
66,19,49,A
67,42,70,C
68,36,27,Yes
69,21,22,C
70,21,19,Medium
71,57,75,C
72,17,56,Low
73,43,78,Critical
74,77,18,High
75,46,100,Low
76,29,31,B
77,76,63,High
78,84,12,Low
79,69,61,Low
80,27,47,Low
81,36,95,Critical
82,9,50,B
83,4,68,B
84,26,93,Yes
85,27,89,High
86,93,90,No
87,6,35,C
88,25,10,Medium
89,99,15,A
90,43,14,B
91,92,74,C
92,91,84,B
93,86,36,Low
94,56,48,Critical
95,97,50,A
96,56,48,C
97,27,26,Medium
98,19,31,Yes
99,3,31,A
100,59,79,B
101,73,13,High
102,23,68,High
103,6,56,No
104,54,17,Yes
105,89,99,Critical
106,54,100,Critical
107,75,96,High
108,65,59,Low
109,89,67,Critical
110,75,8,Critical
111,16,32,Medium
112,56,20,High
113,47,17,Low
114,37,4,B
115,82,4,B
116,9,97,A
117,12,61,C
118,78,65,Medium
119,17,69,A
120,83,78,C
121,53,31,C
122,49,62,Critical
123,57,15,Medium
124,27,76,Critical
125,14,13,Critical
126,14,26,Medium
127,89,84,Medium
128,1,66,A
129,31,12,No
130,63,79,High
131,74,55,C
132,39,51,High
133,86,77,High
134,36,80,B
135,57,29,No
136,42,100,B
137,57,69,High
138,35,66,Low
139,96,91,B
140,59,38,Low
141,42,66,A
142,98,86,A
143,88,72,A
144,62,97,Yes
145,40,3,Medium
146,19,64,Medium
147,47,34,No
148,70,39,Low
149,14,65,Low
150,59,5,B
151,61,94,Critical
152,70,48,Low
153,92,2,C
154,26,99,No
155,80,9,B
156,37,2,No
157,93,65,High
158,73,52,Medium
159,13,88,Critical
160,78,80,B
161,12,79,B
162,68,44,High
163,25,22,High
164,79,15,High
165,16,72,C
166,40,97,Yes
167,21,69,Low
168,30,28,Medium
169,65,46,A
170,35,79,Low
171,37,74,Yes
172,9,77,No
173,8,3,A
174,79,37,B
175,55,56,Medium
176,24,28,High
177,82,97,A
178,54,46,Critical
179,66,19,Low
180,29,30,High
181,47,9,B
182,42,28,Yes
183,33,20,C
184,49,14,B
185,88,94,High
186,61,40,No
187,100,90,No
188,27,17,A
189,85,5,A
190,59,69,High
191,17,30,B
192,83,13,No
193,90,80,A
194,26,67,Critical
195,13,32,Yes
196,63,74,Medium
197,23,64,Critical
198,91,83,A
199,52,71,A
200,97,4,A
