candidate_id,position,experience,tech_score,interview,status,candidate_code
1,DS,4,78,83,Hired,C0001
2,DS,6,99,63,Hired,C0002
3,SE,7,78,69,Rejected,C0003
4,SE,1,89,42,Rejected,C0004
5,QA,4,77,48,Pending,C0005
6,QA,5,90,76,Hired,C0006
7,QA,3,91,70,Hired,C0007
8,QA,3,99,91,Hired,C0008
9,SE,1,46,75,Pending,C0009
10,DS,5,89,42,Pending,C0010
11,QA,6,56,82,Rejected,C0011
12,DS,5,66,64,Pending,C0012
13,QA,3,68,91,Hired,C0013
14,QA,2,80,79,Hired,C0014
15,QA,2,43,61,Rejected,C0015
16,QA,7,74,81,Hired,C0016
17,QA,1,97,61,Hired,C0017
18,SE,6,77,41,Pending,C0018
19,SE,6,80,93,Hired,C0019
20,SE,5,85,54,Rejected,C0020
21,QA,7,61,82,Rejected,C0021
22,DS,7,87,70,Hired,C0022
23,QA,3,81,89,Hired,C0023
24,QA,1,67,68,Pending,C0024
25,SE,2,76,71,Pending,C0025
26,SE,0,40,64,Pending,C0026
27,DS,6,81,44,Rejected,C0027
28,DS,2,82,72,Hired,C0028
29,DS,0,49,73,Rejected,C0029
30,QA,6,69,65,Rejected,C0030
31,DS,2,40,74,Rejected,C0031
32,QA,3,82,51,Pending,C0032
33,SE,6,44,89,Rejected,C0033
34,DS,3,77,41,Rejected,C0034
35,QA,8,90,42,Rejected,C0035
36,QA,8,84,79,Hired,C0036
37,DS,1,44,55,Pending,C0037
38,SE,6,76,81,Hired,C0038
39,QA,7,45,75,Rejected,C0039
40,SE,0,42,73,Rejected,C0040
41,DS,4,94,59,Hired,C0041
42,SE,9,86,66,Hired,C0042
43,QA,10,48,75,Pending,C0043
44,QA,2,68,72,Pending,C0044
45,SE,7,84,65,Pending,C0045
46,SE,4,92,57,Pending,C0046
47,QA,9,76,57,Rejected,C0047
48,DS,2,45,86,Pending,C0048
49,DS,6,56,56,Pending,C0049
50,SE,2,57,76,Pending,C0050
51,SE,1,48,56,Rejected,C0051
52,QA,9,91,77,Hired,C0052
53,QA,3,52,74,Pending,C0053
54,DS,3,76,48,Pending,C0054
55,SE,10,45,80,Rejected,C0055
56,DS,6,43,41,Pending,C0056
57,QA,8,83,48,Rejected,C0057
58,DS,2,74,44,Rejected,C0058
59,DS,2,58,52,Pending,C0059
60,DS,7,54,59,Rejected,C0060
