employee_id,employee_code,age,department,role,years_of_service,salary,job_satisfaction,performance_score,attrition
1,E0001,25,HR,SE,4,179875,5,4,No
2,E0002,34,Engineering,Manager,15,57431,4,4,No
3,E0003,21,Support,Analyst,13,239147,5,2,No
4,E0004,22,Engineering,SE,3,220274,3,5,No
5,E0005,34,Support,SE,0,188314,4,2,No
6,E0006,35,HR,QA Eng,14,227431,4,2,No
7,E0007,22,Support,Intern,14,291746,3,1,No
8,E0008,28,HR,Intern,5,295482,3,4,No
9,E0009,39,Data,Manager,6,271825,3,5,No
10,E0010,23,Support,QA Eng,12,244964,5,4,No
11,E0011,44,Data,Analyst,13,72666,2,4,No
12,E0012,54,Support,Analyst,3,178370,2,1,No
13,E0013,40,Data,Intern,15,201565,1,4,No
14,E0014,53,QA,SE,5,251988,2,2,No
15,E0015,53,HR,Intern,7,142608,4,4,No
16,E0016,21,Support,Intern,8,262111,5,2,No
17,E0017,24,Support,Analyst,6,199421,4,5,No
18,E0018,47,Support,Analyst,6,158638,5,3,No
19,E0019,55,Data,Intern,0,136805,5,4,No
20,E0020,32,Engineering,Intern,0,258954,2,3,No
21,E0021,22,Support,SE,1,247694,1,3,Yes
22,E0022,28,Data,QA Eng,7,140288,3,3,No
23,E0023,54,QA,Analyst,2,219922,2,3,Yes
24,E0024,52,Support,SE,14,56195,3,3,No
25,E0025,47,QA,Analyst,12,78511,3,3,No
26,E0026,48,Engineering,QA Eng,6,54683,5,4,No
27,E0027,31,Support,Intern,4,227779,1,4,No
28,E0028,49,QA,Intern,7,220002,5,1,No
29,E0029,41,Support,SE,12,243318,5,3,No
30,E0030,24,HR,SE,4,275054,2,1,No
31,E0031,31,Support,Intern,9,116154,3,2,No
32,E0032,23,Data,QA Eng,0,286142,5,5,No
33,E0033,53,Engineering,Manager,14,102535,2,3,No
34,E0034,48,Data,QA Eng,3,179066,2,1,No
35,E0035,53,Support,SE,12,135287,3,5,No
36,E0036,22,QA,QA Eng,12,274798,3,3,No
37,E0037,48,QA,Analyst,4,226804,3,1,No
38,E0038,43,Data,Manager,12,251313,5,5,No
39,E0039,23,Engineering,QA Eng,7,94484,1,2,No
40,E0040,42,Data,Intern,6,270497,3,3,No
41,E0041,42,Engineering,Analyst,11,111653,3,5,No
42,E0042,27,HR,SE,15,156587,2,1,No
43,E0043,29,HR,SE,12,211267,2,5,No
44,E0044,35,Data,SE,12,299625,1,3,No
45,E0045,55,Engineering,Manager,11,285080,3,3,No
46,E0046,39,Engineering,Intern,3,225744,1,1,No
47,E0047,28,Engineering,QA Eng,2,112818,4,5,No
48,E0048,28,Support,QA Eng,13,228491,2,2,No
49,E0049,48,Support,Intern,5,288347,1,3,No
50,E0050,41,Engineering,QA Eng,8,220931,4,3,No
51,E0051,39,Data,Analyst,1,167924,1,4,Yes
52,E0052,25,Engineering,Analyst,10,207665,4,4,No
53,E0053,34,Data,Intern,3,277439,3,4,No
54,E0054,32,Data,QA Eng,11,130562,3,2,No
55,E0055,26,HR,SE,7,247469,3,4,No
56,E0056,42,QA,Manager,2,130421,5,1,No
57,E0057,41,Data,Analyst,10,114447,2,3,No
58,E0058,26,QA,QA Eng,3,55340,5,2,No
59,E0059,38,Data,SE,12,241147,1,1,No
60,E0060,43,Support,Manager,0,276138,1,2,Yes
61,E0061,41,Engineering,Intern,3,298834,5,2,No
62,E0062,30,HR,Analyst,5,78017,2,5,No
63,E0063,34,QA,Intern,9,288677,2,1,No
64,E0064,34,QA,Analyst,10,163413,5,5,No
65,E0065,36,HR,SE,5,228802,1,4,No
66,E0066,37,Data,Manager,13,273161,5,5,No
67,E0067,46,HR,QA Eng,14,117625,1,4,No
68,E0068,22,Engineering,Analyst,0,202062,4,2,No
69,E0069,37,HR,Manager,4,197868,2,4,No
70,E0070,26,QA,Manager,5,51960,5,2,No
71,E0071,49,QA,QA Eng,10,132047,5,4,No
72,E0072,47,HR,Intern,15,210245,2,3,No
73,E0073,25,Data,Analyst,7,91803,1,5,No
74,E0074,40,HR,Intern,6,147416,3,2,No
75,E0075,26,Engineering,Intern,14,184729,5,5,No
76,E0076,30,HR,Manager,12,107047,2,5,No
77,E0077,46,HR,Manager,1,185018,4,2,No
78,E0078,26,HR,SE,1,120130,5,1,No
79,E0079,26,Support,QA Eng,4,273084,5,4,No
80,E0080,31,HR,Manager,13,83116,4,5,No
81,E0081,28,Support,Intern,15,189999,2,4,No
82,E0082,38,QA,Manager,3,246497,3,5,No
83,E0083,22,Engineering,Intern,0,113501,2,3,Yes
84,E0084,39,QA,Intern,6,102546,2,3,No
85,E0085,37,Support,QA Eng,9,192967,5,3,No
86,E0086,28,QA,Intern,15,280406,4,4,No
87,E0087,27,Engineering,SE,6,199240,3,1,No
88,E0088,25,Data,Analyst,9,200097,2,3,No
89,E0089,43,Data,Analyst,13,50221,5,1,No
90,E0090,43,HR,Intern,14,154701,4,3,No
91,E0091,45,Support,QA Eng,15,195984,1,1,No
92,E0092,53,QA,Manager,8,207504,5,5,No
93,E0093,31,Support,Intern,13,225332,3,5,No
94,E0094,54,Engineering,Manager,6,201872,3,4,No
95,E0095,25,Support,QA Eng,12,217865,3,3,No
96,E0096,30,Support,Analyst,0,271844,4,2,No
97,E0097,21,HR,Analyst,2,259268,5,4,No
98,E0098,50,HR,Manager,9,94465,2,4,No
99,E0099,53,Engineering,Intern,1,160781,3,1,No
100,E0100,49,Engineering,QA Eng,11,182949,1,2,No
101,E0101,38,Data,Analyst,2,104759,4,5,No
102,E0102,42,HR,SE,6,69630,2,5,No
103,E0103,53,Data,SE,11,94185,4,3,No
104,E0104,35,Support,Intern,8,154783,3,2,No
105,E0105,42,QA,Analyst,15,209894,3,2,No
106,E0106,46,HR,Manager,0,294612,5,2,No
107,E0107,25,QA,Intern,8,166280,2,5,No
108,E0108,37,Support,Intern,4,92607,5,2,No
109,E0109,44,HR,Manager,4,113043,4,1,No
110,E0110,25,Engineering,QA Eng,6,154073,3,3,No
111,E0111,32,Engineering,SE,15,262199,1,5,No
112,E0112,52,Data,Intern,0,165942,2,3,No
113,E0113,32,Engineering,QA Eng,8,154780,1,2,No
114,E0114,45,QA,QA Eng,15,111796,4,3,No
115,E0115,45,QA,Manager,14,237415,5,3,No
116,E0116,28,QA,SE,10,62115,4,1,No
117,E0117,41,Support,Intern,0,125291,4,2,No
118,E0118,30,Engineering,SE,12,151520,2,2,No
119,E0119,45,HR,QA Eng,1,70845,5,4,No
120,E0120,23,Data,SE,9,187600,1,2,No
121,E0121,28,Support,SE,1,99836,3,1,No
122,E0122,38,QA,Manager,15,152158,2,3,No
123,E0123,36,QA,SE,8,204121,3,5,No
124,E0124,48,Data,Intern,5,217347,3,5,No
125,E0125,47,Data,QA Eng,1,236554,3,5,No
126,E0126,38,Data,SE,13,115950,1,2,No
127,E0127,24,QA,Manager,3,273389,2,1,No
128,E0128,53,Support,Intern,1,147059,1,1,No
129,E0129,29,Data,SE,10,166221,1,2,No
130,E0130,22,Data,Analyst,12,73691,4,3,No
131,E0131,40,Engineering,Manager,10,65246,1,3,No
132,E0132,37,Support,SE,10,274358,2,3,No
133,E0133,36,Data,Intern,3,103847,4,3,No
134,E0134,46,Data,Manager,10,77443,5,2,No
135,E0135,54,Data,SE,14,285095,5,3,No
136,E0136,44,Support,Intern,5,134992,2,1,No
137,E0137,29,Data,SE,13,61422,3,3,No
138,E0138,40,HR,Analyst,10,121478,4,3,No
